,title,keywords
17,Организация видеосъемки в военном следственном отделе. Обзор iCam HD 360,"умный дом, автоматика, электроника, гаджеты, даджет, информационная безопасность"
18,"Время — деньги, или аргументы за и против почасовой оплаты","kickidler, повременная оплата, сдельная оплата, freelancer, учет рабочего времени, контроль сотрудников, контроль разработчиков"
19,«В чем выгода»: Технико-экономическое обоснование использования IaaS,"ит-град, iaas, виртуальная инфраструктура, хранение данных, ecommerce"
20,Как сделать виртуальную инфраструктуру доступнее,"1cloud, развитие стартапа, iaas-провайдер"
21,"Поддержка NPAPI плагинов будет отключена для всего, кроме Flash","mozilla, firefox, as3, actionscript, flash, block, deprecated, лиса, март 2017"
22,Redux-form. Когда работать с формами просто,reactjs nodejs javascript
23,Книга «Графический дизайн. Visual Grammar»,книги
24,"Заглянем внутрь GPU-чипа от Apple собственной разработки, используемого в iPhone","gpu, a8, a9, A10 Fusion, графический процессор"
25,CRM: продажи на реактивной тяге,"crm, crm система, crm-системы, regionsoft, продажи, управление продажами, продать как пить дать"
26,Как делают Wi-Fi-сеть в общественном транспорте,"МТС, 3g, 4g, lte, wi-fi, мобильная сеть, связь, базовая станция, трафик, передача данных, нагрузка, емкость, передатчик"
27,Изучаем Retrofit 2,"android development, android apps, android, retrofit, retrofit 2, java, bash.im"
28,Советы основателя. Егор Гурьев — об опыте создания сервиса для стриминга компьютерных игр,"онлайн-игры, онлайн-стриминг, монетизация игр, советы начинающим, развитие стартапа"
29,"Митч Капор: бизнес в позе лотоса, вторая жизнь и электронный фронтир","EFF, Mozilla, second life, Lotus, инвестиции, стартапы"
30,Как устроено тестирование «тяжелого» банковского софта в немецкой фирме,"автоматическое тестирование, разработка, Германия, поиск работы за рубежом"
31,"Секреты эффективного управления дата-центрами по всему миру: от Токио до Сент-Луиса, от Сиднея до Лондона","Acronis, ЦОД"
32,Китайский робот-охранник с электрошокером AnBot заступил в патруль,"роботы, робототехника, тяньхэ-2, суперкомпьютеры, Китай, AnBot, компьютерное зрение, машинное обучение"
33,Google опять раскрыла непропатченную уязвимость в Windows,"Windows, Microsoft, Google, Adobe, Flash, уязвимости"
34,"Полет на слабом сигнале: совы, ястребы, бобры и видеонаблюдение","видеонаблюдение, CCTV, 4G, Videostation, LTE, дача, совы"
35,Анонс веб-камеры в стиле стимпанк,"стимпанк, веб-камера, t-flex, cad"
36,"Джефф Безос: люди должны колонизировать не только планеты, но и открытый космос","освоение космоса, безос, amazon, О’Нейлл"
37,"Космические жилища, ч. 3: как мы будем жить на Марсе","космос, жилища, космические жилища, космические колонии, Марс"
38,Книга «Закон „джунглей“. В поисках формулы жизни»,книги
39,Хакеры украли с помощью бота у четырёх банков миллиард рублей,"платёжные системы, платежные карты, банкомат, атм, вирус, хакер"
40,Лекции Технотрека. 1 семестр. Разработка на Java (весна 2016),"mail.ru, технотрек, лекции, java, разработка"
41,Партнерские программы ComfortWay,"comfortway, cwsim, iot, интернет вещей, мобильная разработка, роуминг, роуминговые тарифы, gsm, agnostic operator SIM, connected car"
42,Как уберечь IP камеру от ботнета Mirai с Flussonic Agent,"видео, видеонаблюдение через интернет, ip камеры, mirai, openvpn, flussonic"
43,"Гормоны, часть третья: стресс и любовь","кортизол, стресс, окситоцин, гормоны"
44,«Держите руку на пульсе и глядите по сторонам» – интервью об ИИ с сооснователем Intento Григорием Сапуновым,"искусственный интеллект, нейросети, нейронные сети, deep learning"
45,"Пол Грэм продавливает правительство: 95% превосходных мировых программистов остаются не у дел, впустите их","стартап, пол грэм, иммиграция, кремниевая долина, программисты, edisonsoftware"
46,Облака замедляют процесс глобального потепления,"глобальное потепление, облака, планета, климат, климатология"
47,Нет – взломам серверов! Советы по проверке и защите,"безопасность, Linux, Ubuntu, защита от взлома"
48,Xiaomi Mi Mix и Mi VR — безрамочная виртуальная реальность,"Gearbest, Xiaomi, Mi Mix, VR"
49,JavaScript и SEO в 2016 году,"seo, ajax, оптимизация js сайта, javascript, скрытая реклама, 25 кадр"
50,Minoca OS: новая свободная операционная система,"POSIX, Minoca OS, Linux, операционная система"
51,Intel Atom E3900 — новое поколение процессоров для «Интернета вещей»,Intel Atom E3900
52,2D магия в деталях. Часть третья. Глобальное освещение,"Unity3d, pixelart, освещение, глобальное освещение, декали, raycasting, region tree"
53,Исследование вирусного видео. Как создавать? Как продвигать?,"онлайн-видео, видеореклама, youtube, facebook"
54,Код нейроэлемента,"нейронные сети, мозг, исходный код, unity3d"
55,Спросите Итана №102: всё ли во Вселенной одного возраста?,"спросите итана, вселенная, галактики, относительность, возраст вселенной, большой взрыв"
56,"Человек-саппорт, или как работает служба техподдержки хостинг-провайдера FASTVPS","FastVPS, служба поддержки, support"
57,"Добавление аватара, обрезка фото на мобильном устройстве и десктопе на JavaScript и PHP",javascript html5 php
58,"BitCoin, отстойный Wi-Fi и дешевые международные звонки","bitcoin, telegram, ip-телефония, междугородние звонки"
59,Yii2: Кастомизация Bootstrap с помощью Less,"yii2, less, gulp"
60,Аспект. Найти и инкапсулировать изменчивость на стыке областей,"ООП, php, изменчивость, программирование, Enterprise, аспект, YII2"
61,Построение MVC приложения на Node.js с кластертзацией и исполнением кода в песочнице,"mvc, node.js, domain, vm, javascript, asynchronous, framework"
62,Больницы в Великобритании отменили сотни операций из-за компьютерного вируса,"больницы, компьютерный вирус, заражение"
63,Почему генеральный директор Code School Грег Поллак покинул компанию,"code school, образовательные проекты, программирование, поглощение, развитие стартапа, работа в команде"
64,Защита устройств от пыли и влаги. Разбираемся в обозначениях IP стандарта,"защита от воды, стандарты защиты гаджетов, IPXX"
65,"Интернет-пользователей, заходящих с настольных компьютеров, стало меньше, чем мобильных","интернет, смартфон, планшеты, настольные компьютеры, мобильный интернет"
66,Браслет Xiaomi MiBand 1S. Опыт использования,"xiaomi, xiaomi mi band 1s, фитнес-трекеры, браслет с пульсометром"
67,Интересное в закладках UX/UI-дизайнера,"ux design, ux, ui, веб-дизайн, prototype, дизайн"
68,Очередной исторический виток: инновации ради инноваций от Apple и близкий триумф Microsoft,"apple, Microsoft, новые продукты, инновации, ирония истории, визионерство"
69,Анонсируем Dart Sass,"ruby, javascript, node.js, у нас всё, dart"
70,TailSampler — паралельная отправка GET-запросов в Apache.JMeter,"jmeter, нагрузочное тестирование, java, ajax, http, html, apache, плагин, тестирование, qa, Performance Lab"
71,ServiceStack & .NET Core,".net core, servicestack, api, .net"
72,Разработка Инди РПГ: разбор двух лет разработки,"инди, indie, indiedev, gamedev, game development, indie gamedev, steam, разработка игр, kickstarter, after reset, bcs"
73,Эта таинственная рекуперация,"моноколесо, логгеры, мощность, ток"
74,"Мониторинг докер-хостов, контейнеров и контейнерных служб","devops, docker, containers, monitoring, grafana, prometheus"
75,О том как я написал блокировщик рекламы и трекеров для смартфонов Samsung на Android. Adhell,"android, samsung, adblock, adhell"
76,HD-камера наблюдения для дома: FlirFX,"камеры наблюдения, умный дом, гаджеты, камера"
77,Паттерн Стратегия на JavaScript,"паттерны, паттерны проектирования, паттерн стратегия, стратегия, pattern, patterns, design pattern, design patterns, strategy pattern, strategy"
78,Как мы наладили процесс от хранения до лицензирования софта: проект SupplyLab,"хранение софта, лицензирование софта, devops"
79,Песнь о могучем Деплое: безостановочное прозрачное развёртывание веб-сервиса,"deployment, эльба"
80,Анонс митапа Sync.NET #3,"Sync.NET #3, митап, встреча"
81,Маркетологи уже победили или почему я никогда не куплю себе топовый смартфон,"смартфоны, маркетологи, экономика"
82,"Искусственный интеллект в поиске. Как Яндекс научился применять нейронные сети, чтобы искать по смыслу, а не по словам","машинное обучение, нейронные сети, deep learning"
83,Продолжаем проверять проекты Microsoft: анализ PowerShell,"статический анализ кода, pvs-studio, static code analysis, open source, C#, .net, powershell, microsoft, оболочки"
84,Мой опыт получения PMP,pmp
85,Я техлид. Что делать?,"разработка, управление разработкой, аутсорс, разработка мобильных приложений"
86,"5 удивительных способов управления временем, которыми пользуются преуспевающие люди","принятие решений, решения, работа над собой, перезагрузка, изменение приоритетов, приоритеты, жизненные цели, путь к успеху, жизненный опыт"
87,Kivy. От создания до production один шаг. Часть 1,python3 kivy
88,Сколько зарабатывает программист в Москве по мнению ФНС,"фриланс, регистрация ооо, регистрация ип, регистрация бизнеса, патентная система, псн, усн, усно"
89,PayPal не придёт в Украину в ближайшие 12 месяцев – НБУ,"paypal, платёжные системы, снг, Украина"
90,Голодные игры: всегда ли честность – лучшая политика для животных?,"павлины, выживание, эволюция, честность, нечестность"
91,Группировка Sednit использует буткит в кибератаках,"sednit, malware, security"
92,"Подтверждение номера телефона, используя Ruby on rails и Twilio",ruby on rails
93,Потрясающая экскурсия от NASA по МКС в 4К,"iss, nasa, 4k, мкс, международная космическая станция, космос"
94,Хакнуть Ландауэра,принцип ландауэра
95,Facebook представила Gameroom — сервис для геймеров,"facebook, gameroom, казуальные игры, социальная сеть, гейминг, игры, платформа"
96,Enums + Associated Values = Swift,"ios development, swift 3, enum, mobile development, redmadrobot"
97,2 ноября — самый айтишный день в году,"день рождения, булева алгебра, буль, np-полнота, хакеры, премия Кнута, edisonsoftware"
98,Корпоративные лаборатории — обновление программы,"Корпоративные лаборатории Pentestit, курсы этичного хакинга и пентеста"
99,Композиция и интерфейсы,"ООП, наследование, композиция, интерфейсы, методы расширения, extension methods"
100,Блокировщик рекламы для дома на коленке,"docker, no-ads, powerdns, bind9"
101,"ФАС снова оштрафовала Google и отказала в продлении сроков исполнения предписания, вынесенного после жалобы «Яндекса»","ФАС, антимонопольное законодательство, штраф, Яндекс, Android"
102,"В поисках предела. 6 мифов эффективности, которые я развеял, работая по 14 часов в день на протяжении месяца","саморазвитие, эффективность, продуктивность, эксперимент"
103,"DisTalk. Если ты не умеешь читать, это не значит то, что ты не можешь общаться","Инвалиды, разработка под android, ошибки и грабли, не делайте так никогда"
104,"Голуби, роботы, кошки и другие почтальоны","почта, почтовые голуби, история почты, курьеры, курьерская служба, война, роботы"
105,Злоумышленники используют 0day уязвимости в кибератаках на пользователей,"security, exploit"
106,Как запускать Python через SAS?,"SAS, SAS 9.4, phyton"
107,Двухэтапная аутентификация — давай до свидания,"Двухэтапная аутентификация, apple, информационная безопасность, взломщики"
108,Что мы знаем о Nintendo Switch,"Nvidia, Nintendo Switch, Wii U, ожидания"
109,Маленькие дизайн-алгоритмы против большого тлена,"тлен и безысходность, работа над собой, интерфейсы, мобильные приложения, цвет, терпение и труд"
110,Адаптирование мобильного приложения для Android TV или почему я люблю Google,"google, android tv, android, ТV, приставки, touch screen, игры"
111,Как pdf (изображения) преобразовать в текстовый txt-файл,"ocr, python, pdf, txt, languagetool, tesseract, stduviewer"
112,Беспроводная отладка STM32,"ESP8266, STM32, openOCD"
113,Базовую станцию GSM спрятали в офисном принтере,"принтер, Raspberry Pi, StingRay, базовая станция, YateBTS, OpenBTS"
114,Что делает игры смешными? Комизм и юмор в видеоиграх. Часть вторая,"юмор, игры, дизайн, графика, разработка, видеоигры, создание игр, разработка игр"
115,В пригороде Москвы с помощью 3D-принтера за 20 часов построят жилой дом,"3д-принтер, 3д-печать, архитектура, здания"
116,Malware + Blockchain = ❤️,"ethereum, blockchain, trojan, smart contracts"
117,Адаптируем nooLite для работы с Apple HomeKit,"NooLite, HomeKit"
118,Google научился фильтровать фальшивые установки на Android,"google, android, google play, накрутка, мошенничество, рейтинговая система"
119,"Фотоэкскурсия по выставке MakerFaire 2016 в Шэньчжэне, часть 3 (+видео)","makerfaire, хакспейсы, шэньчжэнь"
120,"Инвестирование в ИИ сулит больше выгод, чем рисков","статья, перевод, ии, искусственный интеллект, разработка, ai, artificial intelligence, gva, techcrunch, technology"
121,Видеозаписи лучших докладов .NET-конференции DotNext 2016 Piter,"Sasha Goldstein, Андрей Акиньшин, Dino Esposito, Дмитрий Сошников, ASP.NET Core, performance, PerfView, арифметика"
122,Подключение шлюзов Intel для интернета вещей к AWS и обмен данными с облаком при помощи Node-RED или Python,"шлюзы Intel для интернета вещей, Amazon Web Services, Node-RED, Python"
123,«Что-почём в облаках» — обзор цен на украинском облачном рынке,"облака, украина, цены, сравнение"
124,"Разработка сильного ИИ, путем копирования структур и процессов психики человека","искусственный интеллект, семантическая сеть, алгоритмы, сильный ии."
125,Гарри Поттер и технологическая сингулярность,"гарри поттер, технологии"
126,Усовершенствуем функцию ВПР в Excel,"excel формула, UDF, бинарный поиск, оптимизация программ, ВПР, макросы"
127,Хардвер вторгается в софтвер на московской конференции SECR,"rtos осрв микроконтроллеры, mips, imagination technologies, нииси ран, исп ран, тестирование"
128,Какое место занимает язык Scala в ИТ-индустрии,"scala, перспективы, разработка по, объектно-ориентированное по, функциональное программирование, java"
129,Консольные команды с PHPixie Console,"phpixie, php, php framework"
130,Теперь Valve требует от разработчиков размещать реальные скриншоты на страницах игр,"игры, скриншоты, честная реклама"
131,"Как я перепрограммировала свой мозг, чтобы начать разбираться в математике","математика, инженерное дело, точные науки, обучение"
132,Нейросеть предсказывает первое впечатление о человеке по его лицу,"нейросеть, лицо, первое впечатление, интеллект, надежность, доминантность, альфа-самец, выражение лица, психология"
133,Бумажные деньги — когда и почему они появились,"деньги, бумажные деньги, финансы, история денег"
134,Автоматически генерируемая CMS использую вашу готовую GraphQL-схему,"javascript, react, graphql, node, relay"
135,Самая популярная сеть для суперкомпьютеров или Почему мы выбрали InfiniBand?,"infiniband, облако, технологии, сети"
136,"Что рассказать о компании, чтобы получить отклики от разработчиков (чек-лист)","мой круг, moikrug.ru, hr-брендинг, hr-бренд, ИТ-индустрия, вакансии для it-специалистов, вакансии для программистов"
137,"Несколько простых шагов, которые помогут избежать проблем с созданием и восстановлением бекапа","king servers, бэкап, восстановление данных"
138,Основы компьютерных сетей. Тема №4. Сетевые устройства и виды применяемых кабелей,"cisco, network, ccna, router, switch, hub, cable, bridge, modem, маршрутизатор, коммутатор, мост, концентратор, модем"
139,Непреходящая красота космоса,"космонавтика, фото, красиво"
140,Power Macintosh 6200/75 — компьютер 1995 года (текст и видео — на выбор),"power macintosh, apple, старое железо"
141,Знакомство с хранилищем Ceph в картинках,"Ceph, СХД, Linux, облачные хранилища"
142,Производитель чипов Broadcom покупает компанию Brocade в ущерб своим планам,"поглощение, рынок полупроводников, производство микроэлектроники, акции, падение рынка, broadcom"
143,Как мы отличали тележку от прораба — видеоаналитика для кассовой зоны гипермаркета (и продолжение про кота-терминатора),"очередь, длина, распознавание, магазин, стройматериалы, раскривушка шайтанама, видеонаблюдение, видео, покупатели, кот, попался"
144,"Дизайн российских городов, где он?","город будущего, дизайн городов, автономный город"
145,Вне зоны доступа: аномальные территории связи,"зоны слабого приёма, низкий уровень сигнала"
146,Какими могут быть приспособления для контроля резонансов: Пример бренда Cold Ray,"аудиомания, подкаст, звук, Cold Ray, контроль резонансов"
147,АПКиТ направила в Минкульт предложение об удалении из поисковой выдачи ссылок на нарушающие авторское право материалы,"поисковики, яндекс, авторское право, копирайт, АПКиТ"
148,Немного о рынке DPI: Вендоры и их решения,"dpi, вендоры, анализ трафика"
149,IaaS-дайджест: Знакомство с виртуальной инфраструктурой,"ит-град, iaas, виртуальная инфраструктура"
150,Девайсы IoT – любимая цель DDoS атак,"ит-инфраструктура, облачные вычисления, защита данных, защита от ddos, хостинг"
151,Образовательные решения LEGO Education. Кем могут вырасти ваши дети,"lego, lego education, wedo, wedo 2.0, ev3, образование, учебный процесс, LEGO MINDSTORMS Education EV3"
152,"Симфоническая музыка – проблемы качества воспроизведения, выбор формата и аппаратуры","акустика, усилители, унч, сцена, классика, симфоническая музыка, ЦАП, lossless, АС, акустика hi-fi, hi-fi audio и музыка"
153,И снова автоматизация: Python «дополз» до маршрутизаторов,"Python, OPS, CLI, huawei"
154,ИТ для инвестиционной экосистемы,"ит инфраструктура, московская биржа, ит, финансы в ит"
155,Сложности нагрузочного тестирования – интервью с Владимиром Ситниковым (Netcracker) и Андреем Дмитриевым,"тестирование, тесты, тестирование it-систем, нагрузочное тестирование, синтетическое тестирование, натуральное тестирование, heisenbug"
156,Пишем сервер-помощник для BaaS или «Ну и зачем мне тогда Firebase?»,"firebase, go, firebase cloud messaging, android, ios"
157,Утечки данных в 2016 году – предварительные итоги года,"безопасность, безопасность в сети"
158,Pornhub обходит блокировщики рекламы с помощью вебсокетов,"WebSocket, Chrome, вебсокеты, Pornhub, BugReplay"
159,Миссионерские интерфейсы,"usability, эмпатия, пользовательский опыт"
160,Mail.ru Group купила сервис доставки еды Delivery Club за $100 млн,"Доставка еды, mail.ru group, delivery club"
161,О чем говорят профессионалы? По мотивам круглого стола об аналитике игровых проектов в рамках White Nights Moscow,"аналитика игр, я пиарюсь, маркетинг игр"
162,Советы основателя. Илья Екушеский – об онлайн-сервисе перевозок Busfor,"онлайн-сервисы, сервис перевозок, uber, busfor, развитие стартапа, венчурные инвестиции"
163,"Интервью с Иваном Козловым, вице-президентом мобильных продуктов Aviasales.ru","aviasales, mobio, hotellook, интервью"
164,Погружение в технологию блокчейн: Децентрализованная нецензурированная система доменных имён,"emercoin, криптовалюта, блокчейн, bitcoin, биткойн"
165,Помехоустойчивое кодирование. Часть 1: код Хэмминга,"кодирование хаффмана, связь, помехи, поле галуа, цифровая обработка сигналов, логические операции"
166,"Дональд Кнут: про ассемблер, транслятор и грамотное программирование","Кнут, ассемблер, транслятор, грамотное программирование, Literate programming, разработка, программирование, edisonsoftware"
167,Как проходят уроки информатики в разных странах мира: 5 основных выводов,образование
168,Михаил Грачев: «Информация — это сила в автогонках»,Acronis
169,Конспект админа: корпоративные SAN и самое главное в работе архитектора (обновлено),"SAN, архитектура сети, сети хранения, SDS, конвергентная инфраструктура"
170,Yoga Book: эффект ореола на клавиатурах нового поколения,"Lenovo, Yoga Book, клавиатура, Halo"
171,"Tesla работает над стеклом для Model 3, которое может вырабатывать электричество","tesla motors, tesla model 3, tesla glass, solar city, solar roof, Маск, солнечная энергия"
172,Локализация инди-игр в Unity: неявные затраты,"локализация игр, инди-игры, steam"
173,Специальные очки меняют личность человека для системы распознавания лиц,"нейросеть, распознавание лиц, OpenCV, машинное зрение, детектирование лиц, имперсонификация"
174,Мир вечных следов,"луна, следы, атмосфера, безвоздушное пространство, аполло, луноход"
175,11.11: пора всё промотать по-холостяцки,"jd, jd.ru, китайские магазины, китайские телефоны, китайские смартфоны, 1111, распродажа"
176,Анонс Форума Dell EMC Forum 2016,Dell EMC Forum 2016
177,Появление корпоративного чата от Microsoft вызвало неоднозначную реакцию создателей Slack,"slack, microsoft, конкуренция, корпоративный чат, управление проектами, новый проект"
178,Цены на популярную электронику прошлого в сегодняшних деньгах: 1990-е годы,"гаджеты, компьютеры, ноутбуки, игровые приставки, история"
179,НАСА завершило предварительные тесты зеркала телескопа «Джеймс Уэбб»,"наса, телескоп, космос, джеймс уэбб"
180,"Правила, которые помогают мне выжить в новом коллективе и запустить систему. Начало","управление проектами, пять почему, управление рисками, аналитика"
181,Применение 3D-печати в ремонте и тюнинге автомобилей,"3d-печать, автомобили"
182,"IBM расширяет экосистему Bluemix для того, чтобы дать Китаю доступ к блокчейн и IoT","блокчейн, ibm, финансы в ит, ibm bluemix"
183,"Делаем проект на Node.js с использованием Mongoose, Express, Cluster. Часть 1","mvc, node.js, javascript"
184,IoT за копейки: делаем устройство с веб-интерфейсом,"dataart, dataart.интернет вещей, devicehive, diy, diy или сделай сам, esp8266, cloud, iot, интернет вещей"
185,Технологии хранения данных VMware vSphere 6. Часть 1 – Old School,"vmware, vsphere, СХД, VASA, VAAI, PSA"
186,Теория решения изобретательских задач на пальцах,"триз, инженерные задачи, занимательные задачки"
187,Callcoin: Telegram-бот для международных звонков за биткоины,"HashFlare, Callcoin, стартапы, Telegram, боты, bitcoin"
188,60 лет с жёсткими дисками,"жёсткие диски, накопители, IBM, Seagate, история, история ИТ, физика"
189,Разработка ядра Linux держится на электронной почте,"linux kernel, сообщество разработчиков, email, электронная почта, git"
190,Экономика пацанской IT конторы,"бизнес, IT, компания, ЖЗЛ, юмор"
191,"Как мы строили свой мини ЦОД. Финансы, ценообразование","takewyn, хостинг, дата-центр, ит-инфраструктура, сетевое администрирование, финансы"
192,Исследователи создали высокопроизводительную батарею из отходов металлов и мыла,"аккумулятор, отходы"
193,Баллада о передаче данных,"Интерфейсы, разработка, программирование, RS485, своими руками"
194,Уходим глубже в Underground: история одного экстремального дизайна игры,"indie, indie games, retro, ascii art, ascii"
195,О сравнении объектов по значению — 1: Beginning,"C#, .NET, object equality, GetHashCode, Equals, IEquatable<T>, Equals(T), equality operators"
196,Охота как эволюционный фактор. Птицы становятся умнее,"птицы, охота, эволюционные факторы, эволюция"
197,Роcкомнадзор: держим ухо востро. Как вовремя заметить внесение в список,"host-tracker, uptime, monitoring, website monitoring, hosting, мониторинг сайта, мониторинг сервера, мониторинг, проверка доступности сайта, роскомнадзор, роскомнадзор не пройдет"
198,"Большинство игроков не пройдёт вашу игру, и это нормально","game design, геймплей, прохождение игры"
199,GoPro Karma vs DJI Mavic Pro: какой из двух складных дронов лучше?,"DJI Mavic Pro, GoPro Karma, складные дроны, квадрокоптеры, коптеры"
200,Невзламываемый код существует,"код, совершенный код, хакеры, проверка программ, тестирование"
201,Microsoft отказывается от поддержки EMET,"emet, security"
202,Настройка UEFI-загрузчика. Самое краткое руководство в мире,"windows, linux, bootloader, uefi, gpt"
203,Теории заговора. Табачное лобби получает прибыль от медленного самоубийства миллионов людей,"табак, никотин, табакокурение, зависимость"
204,"Создана гибкая солнечная панель, которую можно использовать в качестве жалюзи или обоев","солнечные панели, солнечная энергия, возобновляемая энергия"
205,Гарвардские ученые создали «сердце на чипе»,"3д-принтер, 3д-печать, медицина, медицина будущего, гарвард"
206,"Дональд Кнут: про Ричарда Фейнмана, награды и алгоритм КМП","алгоритм, алгоритм кнута-морриса-пратта, edisonsoftware"
207,Создан программный предсказатель навязчивых мелодий,"INMI, навязчивая мелодия, MIDI, поп-музыка, направление мелодии"
208,"Security Week 44: zero-day в Windows, уязвимость в ботнете Mirai, серьезные дыры в MySQL","klsw, mirai, google, microsoft, windows, zero-day, mysql, mariadb"
209,Найдены ранее неизвестные компоненты песен китов,"киты, общение китов, звуковые волны"
210,«Прогрев» наушников — мифология,"звук, наушники, физика, прогрев, аудио, hi-fi, hi-end аппаратура, high-end, аудиоаппаратура"
211,"Вашу игру пройдут немногие, так стоит ли тратить время на концовку?","game design, геймплей, прохождение игры"
212,Вирус для умных лампочек заражает тысячи устройств за считанные минуты,"умные лампы, philips hue, распределенные атаки"
213,Автоматизация дефрагментации индексов в базе данных MS SQL Server,MS SQL Server
214,Компания Canonical выпустила новую версию Ubuntu Core для IoT-приложений,"iot, интернет вещей, ubuntu core"
215,"Усиленный ботнет Aidra заразил 3500 устройств меньше, чем за неделю","ботнет, вирусы, хакерство, интернет вещей, безопасность в сети, безопасность веб-приложений"
216,Осциллорез — электрическая мини-пила и мульти-инструмент,"электроинструмент, охлаждение, корпуса для diy, корпус электроники, умная мебель, умный дом, металл, металлообработка, мастерская"
217,Допустимые и недопустимые контакты металлов. Популярные метрические и дюймовые резьбы,"металл, металлы, металлообработка, электроника для начинающих, контакты, коррозия металла, электрохимия"
218,Из Firefox 52 удалят API уровня заряда аккумулятора для сохранения приватности пользовательских данных,firefox
219,"В Норвегии начали бесплатно распространять лекарство, эффективно предотвращающее ВИЧ","ВИЧ, медицина, секс на Гиктаймсе, Truvada, andorro-новости"
