,0
243,Реализация оптимизатора хвостовой рекурсии для объектно-ориентированного функционального языка программирования
244,Разработка системы типов для функционально-объектного языка программирования
245,Реализация и интеграция чистых функциональных персистентных структур данных в стандартную библиотеку языка программирования EO
246,Приложение для проведения видеоконференций на базе WebRTC.
247,Система протоколирования видео/аудио конференции на базе webrtc
248,Сервис контроля посещаемости студентов на базе машинного обучения
249,Mобильное приложение для изучения иностранных языков в метро
250,Информационно-аналитический портал  «Право благоприятной окружающей среды»
251,Клиент-серверное приложение для отслеживания времени и активности удаленных команд
252,Автоматическое устранение скачков
253,Клиент-серверное приложение для организации конференций
254,"Андроид-приложение ""Игра Переливания"""
255,Приложение для визуализации алгоритмов или структур данных
256,Приложение для визуализации алгоритмов анализа данных или алгоритмов машинного обучения
257,Олимп
258,Локализация и построение карты для мобильного робота.
259,Планирование и исполнение траектории для мобильного робота.
260,Планирование траектории для подвижного обратного маятника.
261,Грузовик/HW
262,Интеграция внешних поставщиков правил стандарта оформления кода в ReSharper/Rider
263,NLP - анализ тональности текста
264,Социальная сеть для НИС по iOS-разработке
265,Люди - новая нефть
266,Лошадью ходи!
267,Играем в диспетчера
268,Личный секретарь
269,Код генерирует код
270,Пишем регэкспы с удовольствием
271,Исследование и сравнение точности робастных методов оценивания в модели линейной регрессии
272,Алгоритмы динамического выделения ресурсов в облаке
273,Алгоритмы консолидации виртуальных машин с ограничением миграции
274,Планирование миграции виртуальных машин
275,"Мобильное приложение, агрегатор туристических маршрутов"
276,Стохастическое динамическое программирование
277,Перевод Img2Img для мобильных устройств
278,Программа для построения многочлена специального вида по взвешенному графу
279,Крошечная стратегическая игра вдохновленная Civilization и The Settlers of Catan
280,Исследование методов самообучения систем распознавания голоса
281,Распознавание голоса для умного дома
282,Исследование методов обучение систем распознавания голоса на ограниченных данных
283,Сравнение алгоритмов кластеризации для cегментация речи нескольких дикторов
284,Онлайн cегментация речи нескольких дикторов
285,Интернет магазин продажи цифровых картин в виде NFT токенов
286,Android приложение General Parking
287,Клиент-серверное приложение “Forex Events”
288,IOS-приложение для поиска и продвижения мероприятий
289,Умный фитосветильник
290,Разработка алгоритма для новостных рекомендательных систем и анализа портфелей ценных бумаг
291,Многопользовательская игра-платформер «Котопёс»
292,Программный модуль для выделения логически связанных потоков в высокоскоростном сетевом трафике
293,Олимп.Клуб
294,Клиент-серверное приложение для продажи цифровых изображений на базе блокчейн.
295,"Сайт-сборник стихотворений ""Цикл 0"""
296,Конструктор визуальных новелл
297,Приложение-агрегатор для обмена навыками «Махнёмся»
298,Библиотека filters для Django Rest Framework
299,Приложение-агрегатор для обмена навыками «Махнёмся»
300,Клиент-серверное приложение BoardGameFinder
301,Компьютерная 3D-игра в жанре шутер с видом сверху
302,Библиотека filters для Django Rest Framework
303,Перлер
304,Разработка программного комплекса для мониторинга оборудования и автоматизации сервисного обслуживания
305,Исследование алгоритмов трейдинга криптовалют с использованием нейронных сетей
306,Компьютерная 3D-игра в жанре шутер с видом сверху
307,Компьютерная 3D-игра в жанре шутер с видом сверху
308,Модели блокчейн систем на основе DAG
309,"Кроссплатформенное мобильное приложение - платформа для выкладывания курсов, постов, подкастов и проч."
310,Двухмерная игра на Unity
311,Построение теней в 3D сцене
312,Приложение для продажи цифровых товаров и CRM-приложение для разработчиков
313,Приложение для продажи цифровых товаров и CRM-приложение для разработчиков
314,Бюджетная система отслеживания всего человеческого тела в VR с использованием наработок SlimeVR
315,Классическая игра-головоломка Судоку
316,iOS- и tvOS-приложения для совместных ролевых игр
317,Android приложение для помощи в запоминании теоретической  части дисциплин
318,Анализ методов автоматической генерации заданий для систем адаптивного обучения
319,Разработка механизма сверки и учёта бизнес-активности участников сети для выставления информации о счетах
320,Веб-сервис обработки субтитр
321,"Многоуровневый платформер ""Demon Blade"" на Unity3D"
322,3D гоночная игра на Unity
323,Программа для экспериментального исследования платформо-независимых средств видео-коммуникации
324,Веб-приложение для викторин
325,Комплекс программ для сравнительного анализа эмпирических функций мощности статистических критериев проверки однородности против альтернатив сдвига.
326,Классическая игра-головоломка Судоку
327,Многоуровневая головоломка-платформер в Unity3D
328,Трёхмерная ПК Игра в Жанре Приключение “Брокколидиссея”
329,Программный интерфейс для работы с базами данных по свойствам неорганических веществ и материалов
330,"Программа для создания клиент-серверных приложений, готовых к развертыванию в контейнерной среде"
331,Система взаимного оценивания на базе Microsoft Teams
332,Приложение для обмена навыками и услугами для студентов НИУ ВШЭ
333,Telegram бот для учета лабораторного инвентаря
334,Модуль TOSCA оркестратора “Clouni”
335,Генерация SQL по Запросу на Естественном Языке .
336,Система анализа продуктов онлайн магазинов
337,Агрегатор скидок и акций для студентов НИУ ВШЭ
338,Онлайн игра в жанре RTS на Unity3D
339,"Кулинарное клиент-серверное мобильное приложение ""Варка"""
340,Приложение для контроля времени использования мобильного устройства
341,Веб-форум для сотрудников и студентов НИУ ВШЭ
342,Виртуальный тренажер для трейдеров
343,Инфраструктура системы обработки новостных данных
344,Интерактивный тренажёр с онтологически-контролируемой генерацией и проверкой учебных заданий по физике
345,Программа построения каустик
346,iOS-приложение для знакомств студентов НИУ ВШЭ
347,Платформа для отслеживания качества жизни
348,Мобильное фитнес приложение
349,Адаптация алгоритмов построения префиксного дерева и редукции систем переходов для библиотеки Py4PM
350,Реализация алгоритма AlphaMiner для библиотеки VTMine
351,Реализация алгоритма InductiveMiner для библиотеки VTMine
352,Реализация алгоритма HeuristicMiner для библиотеки VTMine
353,Библиотека для конвертации журналов событий между форматами SQ3-XES
354,Реализация алгоритма Region-Based Folding для сетей Петри
355,Обнаружение паттернов в моделях процессов с помощью сверточных нейронных сетей
356,Извлечение моделей процессов из журналов событий с помощью рекуррентных нейронных сетей
357,Исследование применимости методов машинного обучения для извлечения и анализа моделей процессов
358,Расширение MS Visio для импортирования графов в формате DOT
359,Расширение приложения VTMine4Visio для иерархического представления страниц документа
360,Расширение приложения VTMine4Visio для визуализации динамического поведения моделей с помощью оверлеев
361,Ядро инструмента моделирования VTMine4Libre
362,Ядро инструмента моделирования VTMine Framework Core
363,Сетевой сервер вычислительного компонента VTMine
364,Реализация сквозного шифрования сообщений Telegram на основе алгоритмов ассиметричного шифрования
365,Кулинарный помощник
366,Telegram - бот для создания NFT
367,Телеграмм-бот для записи в сфере услуг
368,Телеграмм-бот для записи в сфере услуг
369,Справочная система по применению методов машинного обучения в неорганическом материаловедении
370,Изучение структурных коннектомов зрительных систем
371,Тренажер печати на клавиатуре с использованием базы данных для сохранения статистики.
372,Мобильное приложение с оптическим распознаванием традиционного монгольского письма
373,Telegram - бот для создания NFT
374,Плагин для Intellij IDEA для улучшения времени сборки Gradle-проектов.
375,Веб-приложение для коллективного перевода текста
376,"Сервис сопровождения и хранения информации об изменении состояния сущности, реализующий распределенную сагу оповещения сторонних сервисов о смене ее состояния"
377,Разработка VR-игры «Дизайнер пляжей» на движке Unreal Engine 4
378,Применение GAN алгоритмов для временных рядов
379,Android приложение для поиска и трекинга туристических направлений
380,Сайт-антология кино
381,Web-сервис для формирования отчётности контрагентов
382,PWA-Органайзер
383,Справочная система по ширине запрещенной зоны неорганических веществ
384,Клиент-серверное приложение для помощи в организации мероприятий с привлечением волонтеров
385,Симптомчекер для выявления кардиологических заболеваний с использованием нейросетевых технологий
386,Игра-головоломка «Какуро» под Android
387,Сервис для изучения английского языка
388,Мобильное приложение наблюдения за здоровьем лица
389,3D Игра «Симулятор бортпроводника»
390,Исследование и анализ GitHub-репозиториев студентов НИУ ВШЭ
391,Мобильное приложение “EduTracker”
392,Исследуйте прогнозирование проблем с производительностью модели и предлагайте решение с помощью разработки функций и оптимизации гиперпараметров.
393,Платежная система на основе блокчейна
394,"Мобильное приложение на Android, создающее подсказки в зависимости от погодных условий."
395,Платежная система на основе блокчейна
396,Мобильное кроссплатформенное приложение для доставки еды
397,Мобильное кроссплатформенное приложение для занятий спортом
398,Многопользовательская стратегическая игра на Unity3D
399,Сервис по перемещению и отслеживанию больных COVID-19
400,Мобильное приложение-ментор для сотрудников компании
401,"Финансовый бот для контроля и планирования личных расходов (ИУП по курсовой 2го курса, новая тема)"
402,Инструмент для использования C/C++ кода в Python программах
403,Веб приложение для агрегации социальных сетей
404,Компьютерная игра “Simple Magic Store” на платформе Unity3D
405,Приложение-маркетплейс для продажи и обмена вещей
406,Клиент-серверное приложение для  мониторинга здоровья
407,Программа для создания и редактирования составных медиа объектов
408,Зверон
409,Разработка игры “SCP: The Siberian Incident”
410,Веб-приложение для генерации страницы-каталога услуг самозанятых
411,Распознавание и визуализация распространения лесных пожаров по данным со спутниковых снимков
412,Приложение-маркетплейс для продажи и обмена вещей
413,Бесплатный TON DeBot
414,Приложение-маркетплейс для продажи и обмена вещей
